symbol,address,decimals
PNUT,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,6
CVX,BLvmrccP4g1B6SpiVvmQrLUDya1nZ4B2D1nm9jzKF7sz,8
SNX,8cTNUtcV2ueC3royJ642uRnvTxorJAWLZc58gxAo7y56,8
BabyDoge,7dUKUopcNWW6CcU4eRxCHh1uiMh32zDrmGf6ufqhxann,1
BAT,EPeUFDgHRxs9xxEPVaL6kfGQvCon7jmAWKVUHuux1Tpz,8
ROSE,S3SQfD6RheMXQ3EEYn1Z5sJsbtwfXdt7tSAVXPQFtYo,8
FRAX,6LX8BhMQ4Sy2otmAWj7Y5sKd9YTVVUgfMsBzT6B9W7ct,8
YFI,BXZX2JRJFjvKazM1ibeDFxgAngKExb74MRXzXKvgikxX,8
JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,6
WHITE,ENWC66tsY6cyqSrd8a7S9ETc712xCcSAuGcRUwSMWhyo,8
WOULD,J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,6
OHM,Afe9gSG8NcWicJtC58tUPGWG6pUcdK29d59BJuSAsePJ,8
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,6
FRAX,FR87nWEUxVgerFGhZM8Y4AggKGLnaXswr1Pd8wZ4kZcp,8
SAROS,SarosY6Vscao718M4A778z4CGtvcwcGef5M9MEH1LGL,6
BORG,3dQTr7ror2QPKQ3GbBCokJUmjErGg8kTJzdnYjNfvi3Z,9
USELESS,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,6
GOMINING,3KzAE8dPyJRgZ36Eh81v7WPwi6dm7bDhdMb8EAus2RAf,9
AI16Z,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,9
MELANIA,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,6
NEIRO,FkmodwcM4YULTKLNMo7VHs4HLPvm8iBVLJHTj9YhMr9h,8
CHEX,6dKCoWjpj5MFU5gWDEFdpUUeBasBLK3wLEwhUzQPAa1e,8
MOODENG,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,6
ANKR,Gq2norJ1kBemBp3mPfkgAUMhMMmnFmY4zEyi26tRcxFB,8
LAYER,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,9
LAUNCHCOIN,Ey59PH7Z4BFU4HjyKnyMdWt5GGN76KazTAwQihoUXRnk,9
AUSD,AUSD1jCcCyPLybk1YnvPWsHQSrZ46dxwoMniN4N2UEB9,6
ZIG,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,8
XYO,FCZKwHd9Qn1EQj8fFuNLB8dupAWCoJJNePbMqyHhS77b,8
GOHOME,2Wu1g2ft7qZHfTpfzP3wLdfPeV1is4EwQ3CXBfRYAciD,6
NPC,BeGY8KqKxboEwRbJd1q9H2K829jS4Rc5dEyNMYXCbV5p,8
WAVES,4XEjo9GZkKom3E26NQiidJLawwM9kbt76gUMDdGe1meQ,8
ALCH,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,6
ME,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,6
LRC,HCTVFTzHL21a1dPzKxAUeWwqbE8QMUyvgChFDL4XYoi1,8
GOAT,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,6
AURA,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2,6
PEOPLE,CobcsUrt3p91FwvULYKorQejgsm5HoQdv5T8RUZ6PnLA,8
CPOOL,AeXrLftu8chuY4ctc6oDeG4dUx6Yr4aqeakUMFNvACdg,9
BIO,bioJ9JTqW62MLz7UKHU69gtKhPpGi1BQhccj2kmSvUJ,9
POKT,6CAsXfiCXZfP8APCG6Vma2DFMindopxiqYQN4LSQfhoC,6
KEEP,64L6o4G2H7Ln1vN7AHZsUMW4pbFciHyuwn4wUdSbcFxh,8
YGG,EzZp7LRN1xwu3QsB2RJRrWwEGjJGsuWzuMCeQDB3NSPK,8
CGPT,CCDfDXZxzZtkZLuhY48gyKdXc5KywqpR8xEVHHh8ck1G,9
ORBS,7JnHPPJBBKSTJ7iEmsiGSBcPJgbcKw28uCRXtQgimncp,8
FLUX,FLUX1wa2GmbtSB6ZGi2pTNbVCw3zEeKnaPCkPtFXxqXe,8
AUDIO,9LzCMqDgTKYz9Drzqnpgee3SGa89up3a247ypMj2xrqM,8
SPELL,BCsFXYm81iqXyYmrLKgAp3AePcgLHnirb8FjTs6sjM7U,8
